,A3C_T_MAX,LEARNING_RATE,DISCOUNT_FACTOR,GRADIENT_CLIP,ENTROPY_TERM_STRENGTH,ADAM_EPS,REWARD_SCALE,WMG_MAX_MEMOS,WMG_MEMO_SIZE,WMG_NUM_LAYERS,WMG_NUM_ATTENTION_HEADS,WMG_ATTENTION_HEAD_SIZE,WMG_HIDDEN_SIZE,AC_HIDDEN_LAYER_SIZE,Original-SR,NAP-SR
11,16,-8.740336742730447,-0.35667494393873245,6.238324625039508,-6.21410822338054,-27.631021115928547,1.3862943611198906,16,6.579251212010101,4,3,3.871201010907891,5.950642552587727,4.852030263919617,0.996,0.9907
12,96,-8.740336742730447,-0.6931471805599453,6.931471805599453,-2.995712273753988,-18.420680743952367,-1.3862943611198906,2,5.19295685089021,13,6,3.1780538303479458,1.791759469228055,5.19295685089021,0.3688,0.0
13,120,-11.974960924566787,-0.5108256237659907,5.545177444479562,-6.21410822338054,-23.025850929940457,0.0,3,6.931471805599453,8,16,2.772588722239781,3.1780538303479458,6.931471805599453,0.5025,0.0
14,40,-11.042921835724492,-0.005012541823544286,2.772588722239781,-3.9119730066781044,-18.420680743952367,2.0794415416798357,12,6.238324625039508,8,2,3.1780538303479458,2.772588722239781,4.499809670330265,0.3355,0.3442
15,24,-12.429216196844383,-0.0020020026706730793,6.238324625039508,-4.6050701909877585,-23.025850929940457,0.6931471805599453,1,3.8066624897703196,12,1,3.1780538303479458,2.0794415416798357,4.1588830833596715,0.3176,0.3221
16,24,-11.974960924566787,-0.005012541823544286,2.772588722239781,-3.9119730066781044,-27.631021115928547,3.4657359027997265,4,6.238324625039508,3,20,5.19295685089021,4.1588830833596715,5.19295685089021,0.4195,0.671
17,56,-9.672375831572742,-0.2231435513142097,1.3862943611198906,-6.21410822338054,-27.631021115928547,2.772588722239781,8,5.545177444479562,7,12,5.886104031450156,1.791759469228055,7.6246189861593985,0.4261,0.5927
18,4,-12.429216196844383,-0.020202707317519466,4.1588830833596715,-6.21410822338054,-9.210340371976182,0.6931471805599453,4,6.238324625039508,8,3,4.1588830833596715,2.4849066497880004,5.545177444479562,0.4024,0.3841
19,48,-11.042921835724492,-0.5108256237659907,5.545177444479562,-6.21410822338054,-4.605170185988091,4.1588830833596715,1,3.8066624897703196,13,4,2.772588722239781,3.871201010907891,6.579251212010101,0.8792,0.2406
20,56,-11.042921835724492,-0.020202707317519466,0.6931471805599453,-5.29811738654537,-18.420680743952367,-1.3862943611198906,10,4.852030263919617,13,12,3.4657359027997265,3.871201010907891,7.965545573129992,0.3442,0.0
21,96,-7.824046010856292,-0.01005033585350145,2.0794415416798357,-4.6050701909877585,-13.815510557964274,0.6931471805599453,1,6.579251212010101,12,16,2.0794415416798357,5.545177444479562,5.886104031450156,0.3841,0.0
